Pokedex Number,Base Pokemon,Variant Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Mega,Paradox,Legendary,Pseudo-legendary,Ultrabeast,Regional Form,Mythical,img_name
1,Bulbasaur,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,False,False,False,False,False,False,0001_Bulbasaur.png
2,Ivysaur,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,False,False,False,False,False,False,0002_Ivysaur.png
3,Venusaur,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,False,False,False,False,False,False,0003_Venusaur.png
3,Venusaur,Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,True,False,False,False,False,False,False,0003_Mega Venusaur.png
4,Charmander,Charmander,Fire,,309,39,52,43,60,50,65,1,False,False,False,False,False,False,False,0004_Charmander.png
5,Charmeleon,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False,False,False,False,False,False,False,0005_Charmeleon.png
6,Charizard,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,False,False,False,False,False,False,0006_Charizard.png
6,Charizard,Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,True,False,False,False,False,False,False,0006_Mega Charizard X.png
6,Charizard,Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False,False,False,False,False,False,False,0006_Mega Charizard Y.png
7,Squirtle,Squirtle,Water,,314,44,48,65,50,64,43,1,False,False,False,False,False,False,False,0007_Squirtle.png
8,Wartortle,Wartortle,Water,,405,59,63,80,65,80,58,1,False,False,False,False,False,False,False,0008_Wartortle.png
9,Blastoise,Blastoise,Water,,530,79,83,100,85,105,78,1,False,False,False,False,False,False,False,0009_Blastoise.png
9,Blastoise,Mega Blastoise,Water,,630,79,103,120,135,115,78,1,True,False,False,False,False,False,False,0009_Mega Blastoise.png
10,Caterpie,Caterpie,Bug,,195,45,30,35,20,20,45,1,False,False,False,False,False,False,False,0010_Caterpie.png
11,Metapod,Metapod,Bug,,205,50,20,55,25,25,30,1,False,False,False,False,False,False,False,0011_Metapod.png
12,Butterfree,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,False,False,False,False,False,False,0012_Butterfree.png
13,Weedle,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,False,False,False,False,False,False,0013_Weedle.png
14,Kakuna,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,False,False,False,False,False,False,0014_Kakuna.png
15,Beedrill,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,False,False,False,False,False,False,0015_Beedrill.png
15,Beedrill,Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,True,False,False,False,False,False,False,0015_Mega Beedrill.png
16,Pidgey,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,False,False,False,False,False,False,0016_Pidgey.png
17,Pidgeotto,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,False,False,False,False,False,False,0017_Pidgeotto.png
18,Pidgeot,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,False,False,False,False,False,False,0018_Pidgeot.png
18,Pidgeot,Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,True,False,False,False,False,False,False,0018_Mega Pidgeot.png
19,Rattata,Rattata,Normal,,253,30,56,35,25,35,72,1,False,False,False,False,False,False,False,0019_Rattata.png
19,Rattata,Alolan Rattata,Dark,Normal,253,30,56,35,25,35,72,1,False,False,False,False,False,True,False,0019_Alolan Rattata.png
20,Raticate,Raticate,Normal,,413,55,81,60,50,70,97,1,False,False,False,False,False,False,False,0020_Raticate.png
20,Raticate,Alolan Raticate,Dark,Normal,413,75,71,70,40,80,77,1,False,False,False,False,False,True,False,0020_Alolan Raticate.png
21,Spearow,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,False,False,False,False,False,False,0021_Spearow.png
22,Fearow,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,False,False,False,False,False,False,0022_Fearow.png
23,Ekans,Ekans,Poison,,288,35,60,44,40,54,55,1,False,False,False,False,False,False,False,0023_Ekans.png
24,Arbok,Arbok,Poison,,448,60,95,69,65,79,80,1,False,False,False,False,False,False,False,0024_Arbok.png
25,Pikachu,Pikachu,Electric,,320,35,55,40,50,50,90,1,False,False,False,False,False,False,False,0025_Pikachu.png
26,Raichu,Raichu,Electric,,485,60,90,55,90,80,110,1,False,False,False,False,False,False,False,0026_Raichu.png
26,Raichu,Alolan Raichu,Electric,Psychic,485,60,85,50,95,85,110,1,False,False,False,False,False,True,False,0026_Alolan Raichu.png
27,Sandshrew,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False,False,False,False,False,False,False,0027_Sandshrew.png
27,Sandshrew,Alolan Sandshrew,Ice,Steel,300,50,75,90,10,35,40,1,False,False,False,False,False,True,False,0027_Alolan Sandshrew.png
28,Sandslash,Sandslash,Ground,,450,75,100,110,45,55,65,1,False,False,False,False,False,False,False,0028_Sandslash.png
28,Sandslash,Alolan Sandslash,Ice,Steel,450,75,100,120,25,65,65,1,False,False,False,False,False,True,False,0028_Alolan Sandslash.png
29,Nidoran♀,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False,False,False,False,False,False,False,0029_Nidoran♀.png
30,Nidorina,Nidorina,Poison,,365,70,62,67,55,55,56,1,False,False,False,False,False,False,False,0030_Nidorina.png
31,Nidoqueen,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False,False,False,False,False,False,False,0031_Nidoqueen.png
32,Nidoran♂,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False,False,False,False,False,False,False,0032_Nidoran♂.png
33,Nidorino,Nidorino,Poison,,365,61,72,57,55,55,65,1,False,False,False,False,False,False,False,0033_Nidorino.png
34,Nidoking,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False,False,False,False,False,False,False,0034_Nidoking.png
35,Clefairy,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False,False,False,False,False,False,False,0035_Clefairy.png
36,Clefable,Clefable,Fairy,,483,95,70,73,95,90,60,1,False,False,False,False,False,False,False,0036_Clefable.png
37,Vulpix,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,False,False,False,False,False,False,0037_Vulpix.png
37,Vulpix,Alolan Vulpix,Ice,,299,38,41,40,50,65,65,1,False,False,False,False,False,True,False,0037_Alolan Vulpix.png
38,Ninetales,Ninetales,Fire,,505,73,76,75,81,100,100,1,False,False,False,False,False,False,False,0038_Ninetales.png
38,Ninetales,Alolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109,1,False,False,False,False,False,True,False,0038_Alolan Ninetales.png
39,Jigglypuff,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,False,False,False,False,False,False,0039_Jigglypuff.png
40,Wigglytuff,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,False,False,False,False,False,False,0040_Wigglytuff.png
41,Zubat,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,False,False,False,False,False,False,0041_Zubat.png
42,Golbat,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,False,False,False,False,False,False,0042_Golbat.png
43,Oddish,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,False,False,False,False,False,False,0043_Oddish.png
44,Gloom,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,False,False,False,False,False,False,0044_Gloom.png
45,Vileplume,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,False,False,False,False,False,False,0045_Vileplume.png
46,Paras,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,False,False,False,False,False,False,0046_Paras.png
47,Parasect,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,False,False,False,False,False,False,0047_Parasect.png
48,Venonat,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,False,False,False,False,False,False,0048_Venonat.png
49,Venomoth,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,False,False,False,False,False,False,0049_Venomoth.png
50,Diglett,Diglett,Ground,,265,10,55,25,35,45,95,1,False,False,False,False,False,False,False,0050_Diglett.png
50,Diglett,Alolan Diglett,Ground,Steel,265,10,55,30,35,45,90,1,False,False,False,False,False,True,False,0050_Alolan Diglett.png
51,Dugtrio,Dugtrio,Ground,,425,35,100,50,50,70,120,1,False,False,False,False,False,False,False,0051_Dugtrio.png
51,Dugtrio,Alolan Dugtrio,Ground,Steel,425,35,100,60,50,70,110,1,False,False,False,False,False,True,False,0051_Alolan Dugtrio.png
52,Meowth,Meowth,Normal,,290,40,45,35,40,40,90,1,False,False,False,False,False,False,False,0052_Meowth.png
52,Meowth,Galarian Meowth,Steel,,290,40,35,35,50,40,90,1,False,False,False,False,False,True,False,0052_Galarian Meowth.png
52,Meowth,Alolan Meowth,Dark,,290,50,65,55,40,40,40,1,False,False,False,False,False,True,False,0052_Alolan Meowth.png
53,Persian,Persian,Normal,,440,65,70,60,65,65,115,1,False,False,False,False,False,False,False,0053_Persian.png
53,Persian,Alolan Persian,Dark,,440,65,60,60,75,65,115,1,False,False,False,False,False,True,False,0053_Alolan Persian.png
54,Psyduck,Psyduck,Water,,320,50,52,48,65,50,55,1,False,False,False,False,False,False,False,0054_Psyduck.png
55,Golduck,Golduck,Water,,500,80,82,78,95,80,85,1,False,False,False,False,False,False,False,0055_Golduck.png
56,Mankey,Mankey,Fighting,,305,40,80,35,35,45,70,1,False,False,False,False,False,False,False,0056_Mankey.png
57,Primeape,Primeape,Fighting,,455,65,105,60,60,70,95,1,False,False,False,False,False,False,False,0057_Primeape.png
58,Growlithe,Growlithe,Fire,,350,55,70,45,70,50,60,1,False,False,False,False,False,False,False,0058_Growlithe.png
58,Growlithe,Hisuian Growlithe,Fire,Rock,350,60,75,45,65,50,55,1,False,False,False,False,False,True,False,0058_Hisuian Growlithe.png
59,Arcanine,Arcanine,Fire,,555,90,110,80,100,80,95,1,False,False,False,False,False,False,False,0059_Arcanine.png
59,Arcanine,Hisuian Arcanine,Fire,Rock,555,95,115,80,95,80,90,1,False,False,False,False,False,True,False,0059_Hisuian Arcanine.png
60,Poliwag,Poliwag,Water,,300,40,50,40,40,40,90,1,False,False,False,False,False,False,False,0060_Poliwag.png
61,Poliwhirl,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False,False,False,False,False,False,False,0061_Poliwhirl.png
62,Poliwrath,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,False,False,False,False,False,False,0062_Poliwrath.png
